Title,Author,Rank,Genre
The Quiet American,Graham Greene,356,political
The Chamber,John Grisham,357,gen_fiction
The English Patient,Michael Ondaatje,358,history
Snow Falling on Cedars,David Guterson,359,gen_fiction
The Long Winter,Laura Ingalls Wilder,360,autobio
"Sarah, Plain and Tall",Patricia MacLachlan,361,gen_fiction
Cross Country,James Patterson,362,thrillers
The Spy Who Came In from the Cold,John Le Carré,363,gen_fiction
A Game of Thrones,George R.R. Martin,364,fantasy
The Thorn Birds,Colleen McCullough,365,gen_fiction
Old Yeller,Fred Gipson,366,bildung
"Ramona Quimby, Age 8",Beverly Cleary,367,gen_fiction
Death In Venice,Thomas Mann,368,gen_fiction
By the Shores of Silver Lake,Laura Ingalls Wilder,369,autobio
Inferno,Dan Brown,370,thrillers
Schindler's List,Thomas Keneally,371,gen_fiction
Jonathan Livingston Seagull,Richard Bach,372,allegories
The Stand,Stephen King,373,horror
The Last Juror,John Grisham,374,thrillers
Shiloh,Phyllis Reynolds Naylor,375,gen_fiction
Girl With a Pearl Earring,Tracy Chevalier,376,gen_fiction
The Murder of Roger Ackroyd,Agatha Christie,377,mystery
It,Stephen King,378,horror
The Rainmaker,John Grisham,379,gen_fiction
The Poisonwood Bible,Barbara Kingsolver,380,gen_fiction
The Indian in the Cupboard,Lynne Reid Banks,381,fantasy
The Maltese Falcon,Dashiell Hammett,382,mystery
The Warden,Anthony Trollope,383,gen_fiction
The Summons,John Grisham,384,thrillers
Encyclopedia Brown: Boy Detective,Donald J.  Sobol,385,mystery
The Time Traveler's Wife,Audrey Niffenegger,386,gen_fiction
The Incredible Journey,Sheila Burnford,387,action
Daughter of Fortune,Isabel Allende,388,romance
Shirley,Charlotte Brontë,389,history
"Bud, Not Buddy",Christopher Paul Curtis,390,history
The Horse Whisperer,Nicholas Evans,391,gen_fiction
The Street Lawyer,John Grisham,392,thrillers
Nausea,Jean-Paul Sartre,393,gen_fiction
To Have and Have Not,Ernest Hemingway,394,action
The Bridges of Madison County,Robert James Waller,395,romance
Anne of the Island,L.M. Montgomery,396,gen_fiction
The Winter of Our Discontent,John Steinbeck,397,gen_fiction
The Shining,Stephen King,398,horror
The Tenant of Wildfell Hall,Anne Brontë,399,gen_fiction
First Family,David Baldacci,400,thrillers
The Partner,John Grisham,401,thrillers
The Girl on the Train,Paula Hawkins,402,gen_fiction
The Black Arrow: A Tale of the Two Roses,Robert Louis Stevenson,403,history
The Rise of Silas Lapham,William Dea Howells,404,gen_fiction
The Choice,Nicholas Sparks,405,romance
The Virginian: A Horseman of the Plains,Owen Wister,406,gen_fiction
A Walk to Remember,Nicholas Sparks,407,romance
The Maze Runner,James Dashner,408,scifi
The Westing Game,Ellen Raskin,409,mystery
Misty of Chincoteague,Marguerite Henry,410,gen_fiction
Diary of a Wimpy Kid: The Last Straw,Jeff Kinney,411,gen_fiction
King Solomon's Mines,H. Rider Haggard,412,action
The Princess of Cleves,Madame de (Marie-Madeleine Pioche de La Vergne) La Fayett,413,gen_fiction
Jacob Have I Loved,Katherine Paterson,414,gen_fiction
Mrs. Frisby and the Rats of NIMH,Robert C. O'Brien,415,fantasy
Misery,Stephen King,416,horror
The Cider House Rules,John Irving,417,bildung
King of the Wind,Marguerite Henry,418,history
The Once and Future King,T. H. White,419,fantasy
The Witches,Roald Dahl,420,gen_fiction
The Subtle Knife,Philip Pullman,421,fantasy
When You Reach Me,Rebecca Stead,422,gen_fiction
Carrie,Stephen King,423,horror
The Moon and Sixpence,W. Somerset Maugham,424,gen_fiction
The Higher Power of Lucky,Susan Patron,425,gen_fiction
"Looking Backward, 2000-1887",Edward Bellamy,426,gen_fiction
The Wings of the Dove,Henry James,427,romance
